,name,rating
0,LeBron James,98
1,Dwight Howard,96
2,Chris Paul,94
3,Kevin Durant,94
4,Russell Westbrook,93
5,Dwyane Wade,93
6,Kobe Bryant,93
7,Derrick Rose,92
8,Carmelo Anthony,92
9,Deron Williams,90
10,Rajon Rondo,90
11,Kevin Love,89
12,Steve Nash,87
13,Manu Ginobili,87
14,Andre Iguodala,87
15,Rudy Gay,87
16,Pau Gasol,87
17,Josh Smith,87
18,Tim Duncan,87
19,Tony Parker,86
20,Monta Ellis,86
21,Blake Griffin,86
22,LaMarcus Aldridge,86
23,Andrew Bynum,86
24,Joe Johnson,85
25,Eric Gordon,85
26,Dirk Nowitzki,85
27,Danny Granger,84
28,Kevin Garnett,84
29,Zach Randolph,84
30,Amare Stoudemire,84
31,Al Jefferson,84
32,Kyrie Irving,83
33,Kyle Lowry,83
34,John Wall,83
35,Luol Deng,83
36,Paul Millsap,83
37,Marc Gasol,83
38,Joakim Noah,83
39,Stephen Curry,82
40,Ty Lawson,82
41,Chauncey Billups,82
42,Jrue Holiday,82
43,Paul Pierce,82
44,Chris Bosh,82
45,David Lee,82
46,Al Horford,82
47,DeMarcus Cousins,82
48,James Harden,81
49,Kevin Martin,81
50,Tyreke Evans,81
51,Gerald Wallace,81
52,Caron Butler,81
53,Jason Kidd,80
54,Brandon Jennings,80
55,Rodney Stuckey,80
56,Iman Shumpert,80
57,Brandon Roy,80
58,Wilson Chandler,80
59,Serge Ibaka,80
60,Brook Lopez,80
61,Greg Monroe,80
62,Marcin Gortat,80
63,Mike Conley,80
64,Jarrett Jack,79
65,Ray Allen,79
66,Louis Williams,79
67,Arron Afflalo,79
68,Avery Bradley,79
69,Vince Carter,79
70,Shawn Marion,79
71,Nicolas Batum,79
72,Michael Beasley,79
73,Luis Scola,79
74,Roy Hibbert,79
75,Andrew Bogut,79
76,Anthony Davis,79
77,Nenê,79
78,Ricky Rubio,78
79,Maurice Williams,78
80,Kemba Walker,78
81,Paul George,78
82,Jamal Crawford,78
83,Stephen Jackson,78
84,Jeff Green,78
85,Carlos Boozer,78
86,Emeka Okafor,78
87,Jeremy Lin,77
88,Goran Dragic,77
89,Darren Collison,77
90,Nate Robinson,77
91,Aaron Brooks,77
92,Gilbert Arenas,77
93,Jason Terry,77
94,Wesley Matthews,77
95,OJ Mayo,77
96,Shannon Brown,77
97,Michael Kidd-Gilchrist,77
98,Grant Hill,77
99,Elton Brand,77
100,Taj Gibson,77
101,Antawn Jamison,77
102,Tyson Chandler,77
103,Devin Harris,76
104,Ramon Sessions,76
105,Delonte West,76
106,Trevor Ariza,76
107,Kawhi Leonard,76
108,Terrence Williams,76
109,Kenneth Faried,76
110,Kenyon Martin,76
111,Nikola Pekovic,76
112,Chris Kaman,76
113,Isaiah Thomas,75
114,Jeff Teague,75
115,Mario Chalmers,75
116,Jameer Nelson,75
117,Andre Miller,75
118,Marcus Thornton,75
119,DeMar DeRozan,75
120,JR Smith,75
121,Ben Gordon,75
122,Leandro Barbosa,75
123,Jordan Crawford,75
124,Bradley Beal,75
125,Evan Turner,75
126,Tayshaun Prince,75
127,Jared Dudley,75
128,Shane Battier,75
129,Gerald Green,75
130,Harrison Barnes,75
131,Ersan Ilyasova,75
132,Andrea Bargnani,75
133,David West,75
134,Thaddeus Young,75
135,Thomas Robinson,75
136,Carl Landry,75
137,Jose Calderon,75
138,DJ Augustin,74
139,Kirk Hinrich,74
140,George Hill,74
141,Raymond Felton,74
142,Baron Davis,74
143,Jason Richardson,74
144,Tony Allen,74
145,Ronnie Brewer,74
146,Andrei Kirilenko,74
147,Chandler Parsons,74
148,Corey Maggette,74
149,Richard Jefferson,74
150,Kris Humphries,74
151,Derrick Favors,74
152,JJ Hickson,74
153,JaVale McGee,74
154,Samuel Dalembert,74
155,Brandon Knight,73
156,MarShon Brooks,73
157,Richard Hamilton,73
158,Dahntay Jones,73
159,Matt Barnes,73
160,John Salmons,73
161,Patrick Patterson,73
162,Chuck Hayes,73
163,Anderson Varejao,73
164,DeAndre Jordan,73
165,Marcus Camby,73
166,Hidayet Turkoglu,73
167,Luke Ridnour,72
168,Rodrigue Beaubois,72
169,Toney Douglas,72
170,Courtney Lee,72
171,Nick Young,72
172,Gerald Henderson,72
173,Klay Thompson,72
174,Dorell Wright,72
