,name,rating
0,Giannis Antetokounmpo,97
1,LeBron James,97
2,James Harden,96
3,Kawhi Leonard,96
4,Anthony Davis,95
5,Kevin Durant,95
6,Stephen Curry,95
7,Damian Lillard,94
8,Luka Doncic,94
9,Joel Embiid,91
10,Karl-Anthony Towns,90
11,Kyrie Irving,90
12,Nikola Jokic,90
13,Paul George,90
14,Jimmy Butler,89
15,Klay Thompson,89
16,Bradley Beal,88
17,Chris Paul,88
18,Donovan Mitchell,88
19,Pascal Siakam,88
20,Russell Westbrook,88
21,Trae Young,88
22,Ben Simmons,87
23,Devin Booker,87
24,Jayson Tatum,87
25,Kristaps Porzingis,87
26,Kyle Lowry,87
27,Rudy Gobert,87
28,Bam Adebayo,86
29,Brandon Ingram,86
30,DeMar DeRozan,86
31,Kemba Walker,86
32,Khris Middleton,86
33,Nikola Vucevic,86
34,Zion Williamson,86
35,Andre Drummond,85
36,De'Aaron Fox,85
37,Domantas Sabonis,85
38,Ja Morant,85
39,Jamal Murray,85
40,John Collins,85
41,TJ Warren,85
42,Zach LaVine,85
43,Fred VanVleet,85
44,CJ McCollum,84
45,D'Angelo Russell,84
46,Deandre Ayton,84
47,Jaylen Brown,84
48,Jusuf Nurkic,84
49,LaMarcus Aldridge,84
50,Shai Gilgeous-Alexander,84
51,Tobias Harris,84
52,Blake Griffin,83
53,Caris LeVert,83
54,Eric Bledsoe,83
55,Gordon Hayward,83
56,Jaren Jackson Jr,83
57,John Wall,83
58,Jrue Holiday,83
59,Malcolm Brogdon,83
60,Spencer Dinwiddie,83
61,Danilo Gallinari,83
62,Hassan Whiteside,83
63,Andrew Wiggins,82
64,Brook Lopez,82
65,Clint Capela,82
66,Jonathan Isaac,82
67,Kevin Love,82
68,Steven Adams,82
69,Victor Oladipo,82
70,Montrezl Harrell,82
71,Bojan Bogdanovic,81
72,Buddy Hield,81
73,Derrick Rose,81
74,Jarrett Allen,81
75,Jonas Valanciunas,81
76,Kelly Oubre,81
77,Louis Williams,81
78,Marvin Bagley,81
79,Michael Porter,81
80,Mitchell Robinson,81
81,DeMarcus Cousins,81
82,Aaron Gordon,80
83,Al Horford,80
84,Brandon Clarke,80
85,Collin Sexton,80
86,DeAndre Jordan,80
87,Dejounte Murray,80
88,Dennis Schroeder,80
89,Evan Fournier,80
90,Josh Richardson,80
91,Julius Randle,80
92,Lauri Markkanen,80
93,Marcus Smart,80
94,Christian Wood,80
95,Serge Ibaka,80
96,Daniel Theis,79
