,name,rating
0,LeBron James,94
1,Stephen Curry,93
2,Anthony Davis,92
3,James Harden,92
4,Kevin Durant,91
5,Chris Paul,90
6,Russell Westbrook,89
7,LaMarcus Aldridge,88
8,Carmelo Anthony,88
9,Blake Griffin,88
10,DeMarcus Cousins,87
11,Marc Gasol,87
12,Kyrie Irving,87
13,Kawhi Leonard,87
14,Klay Thompson,87
15,John Wall,87
16,Tim Duncan,87
17,Jimmy Butler,86
18,Pau Gasol,86
19,Paul George,86
20,Damian Lillard,86
21,Dwyane Wade,86
22,Mike Conley,85
23,Dwight Howard,85
24,Kobe Bryant,85
25,Chris Bosh,84
26,DeAndre Jordan,84
27,Dirk Nowitzki,84
28,Zach Randolph,84
29,DeMar DeRozan,83
30,Andre Drummond,83
31,Rudy Gay,83
32,Gordon Hayward,83
33,Al Horford,83
34,Al Jefferson,83
35,Brook Lopez,83
36,Kyle Lowry,83
37,Paul Millsap,83
38,Tony Parker,83
39,Jeff Teague,83
40,Nikola Vucevic,83
41,Eric Bledsoe,82
42,Derrick Favors,82
43,Draymond Green,82
44,Greg Monroe,82
45,Derrick Rose,82
46,Giannis Antetokounmpo,81
47,Goran Dragic,81
48,Monta Ellis,81
49,Brandon Knight,81
50,Ty Lawson,81
51,Kevin Love,81
52,Isaiah Thomas,81
53,Kemba Walker,81
54,Hassan Whiteside,81
55,Bradley Beal,80
56,Tyreke Evans,80
57,Jrue Holiday,80
58,Serge Ibaka,80
59,Brandon Jennings,80
60,Enes Kanter,80
61,Victor Oladipo,80
62,Andrew Wiggins,80
63,Louis Williams,80
64,DeMarre Carroll,79
65,Tyson Chandler,79
66,Darren Collison,79
67,Jamal Crawford,79
68,Kenneth Faried,79
69,Rudy Gobert,79
70,Tobias Harris,79
71,Joe Johnson,79
72,Kyle Korver,79
73,Wesley Matthews,79
74,Joakim Noah,79
75,Chandler Parsons,79
76,JJ Redick,79
77,Kevin Martin,79
78,Tony Allen,78
79,Luol Deng,78
80,Manu Ginobili,78
81,Eric Gordon,78
82,Marcin Gortat,78
83,George Hill,78
84,Reggie Jackson,78
85,Michael Kidd-Gilchrist,78
86,Khris Middleton,78
87,Markieff Morris,78
88,Paul Pierce,78
89,Karl-Anthony Towns,78
90,Jonas Valanciunas,78
91,Deron Williams,78
92,Harrison Barnes,77
93,Nicolas Batum,77
94,Andrew Bogut,77
95,Avery Bradley,77
96,Michael Carter-Williams,77
97,Wilson Chandler,77
98,Jeff Green,77
99,Roy Hibbert,77
100,Andre Iguodala,77
101,Timofey Mozgov,77
102,Nerlens Noel,77
103,Jahlil Okafor,77
104,Jabari Parker,77
105,Nikola Pekovic,77
106,Rajon Rondo,77
107,Ricky Rubio,77
108,D'Angelo Russell,77
109,Jared Sullinger,77
110,Tristan Thompson,77
111,David West,77
112,Steven Adams,76
113,Ryan Anderson,76
114,Omer Asik,76
115,Patrick Beverley,76
116,Corey Brewer,76
117,Alec Burks,76
118,Jae Crowder,76
119,Ed Davis,76
120,Joel Embiid,76
121,Danilo Gallinari,76
122,Kevin Garnett,76
123,Taj Gibson,76
124,Gerald Green,76
125,Danny Green,76
126,Nenê,76
127,Amir Johnson,76
128,David Lee,76
129,Elfrid Payton,76
130,Mason Plumlee,76
131,Dennis Schroeder,76
132,JR Smith,76
133,Marreese Speights,76
134,Tiago Splitter,76
135,Rodney Stuckey,76
136,Anderson Varejao,76
137,Maurice Williams,76
138,Tyler Zeller,76
139,Amare Stoudemire,76
140,Chris Kaman,76
141,Arron Afflalo,75
142,Trevor Ariza,75
143,Aaron Brooks,75
144,Jordan Clarkson,75
145,Jared Dudley,75
146,Jordan Hill,75
147,Solomon Hill,75
148,James Johnson,75
149,Terrence Jones,75
150,Courtney Lee,75
151,Jeremy Lin,75
