,name,rating
0,LeBron James,97
1,Kevin Durant,96
2,James Harden,95
3,Kawhi Leonard,95
4,Stephen Curry,94
5,Anthony Davis,94
6,Russell Westbrook,94
7,DeMarcus Cousins,92
8,Giannis Antetokounmpo,91
9,Paul George,91
10,Chris Paul,91
11,Jimmy Butler,90
12,Kyrie Irving,90
13,Klay Thompson,90
14,Karl-Anthony Towns,90
15,John Wall,90
16,DeMar DeRozan,89
17,Marc Gasol,89
18,Damian Lillard,89
19,Isaiah Thomas,89
20,Rudy Gobert,88
21,Draymond Green,88
22,Gordon Hayward,88
23,Nikola Jokic,88
24,Bradley Beal,87
25,Mike Conley,87
26,Blake Griffin,87
27,DeAndre Jordan,87
28,Kevin Love,87
29,Kyle Lowry,87
30,Paul Millsap,87
31,Hassan Whiteside,87
32,Joel Embiid,86
33,CJ McCollum,86
34,Kristaps Porzingis,86
35,Kemba Walker,86
36,Andrew Wiggins,86
37,LaMarcus Aldridge,85
38,Devin Booker,85
39,Goran Dragic,85
40,Andre Drummond,85
41,Carmelo Anthony,84
42,Eric Bledsoe,84
43,Brook Lopez,84
44,Myles Turner,84
45,Avery Bradley,83
46,Al Horford,83
47,Steven Adams,82
48,George Hill,82
49,Dwyane Wade,82
50,Harrison Barnes,81
51,Danilo Gallinari,81
52,Pau Gasol,81
53,Rudy Gay,81
54,Gary Harris,81
55,Dwight Howard,81
56,Khris Middleton,81
57,Jabari Parker,81
58,Jonas Valanciunas,81
59,Louis Williams,81
60,Lonzo Ball,80
61,Jae Crowder,80
62,Markelle Fultz,80
63,Eric Gordon,80
64,Tim Hardaway Jr,80
65,Jrue Holiday,80
66,Serge Ibaka,80
67,Enes Kanter,80
68,Zach LaVine,80
69,Greg Monroe,80
70,Dirk Nowitzki,80
71,Otto Porter,80
72,Zach Randolph,80
73,Austin Rivers,80
74,D'Angelo Russell,80
75,Nikola Vucevic,80
76,Dion Waiters,80
77,Nicolas Batum,79
78,Patrick Beverley,79
79,Kentavious Caldwell-Pope,79
80,Clint Capela,79
81,Andre Iguodala,79
82,James Johnson,79
83,Jusuf Nurkic,79
84,Victor Oladipo,79
85,JJ Redick,79
86,Ricky Rubio,79
87,Dennis Schroeder,79
88,Ben Simmons,79
89,Marcus Smart,79
90,Jeff Teague,79
91,Tony Allen,78
92,Ryan Anderson,78
93,Trevor Ariza,78
94,Malcolm Brogdon,78
95,Wilson Chandler,78
96,Darren Collison,78
97,Robert Covington,78
98,Kenneth Faried,78
99,Derrick Favors,78
100,Evan Fournier,78
101,Aaron Gordon,78
102,Marcin Gortat,78
103,Tobias Harris,78
104,Rodney Hood,78
105,Joe Ingles,78
106,Josh Jackson,78
107,Jeremy Lin,78
108,Markieff Morris,78
109,Nerlens Noel,78
110,Julius Randle,78
111,Derrick Rose,78
112,Dario Saric,78
113,Tristan Thompson,78
114,TJ Warren,78
115,Will Barton,77
116,Bojan Bogdanovic,77
117,Jordan Clarkson,77
118,Jamal Crawford,77
119,Seth Curry,77
120,Dewayne Dedmon,77
121,Tyreke Evans,77
122,De'Aaron Fox,77
123,Willy Hernangomez,77
124,Buddy Hield,77
125,Nenê,77
126,Reggie Jackson,77
127,Tyler Johnson,77
128,Michael Kidd-Gilchrist,77
129,Wesley Matthews,77
130,Patrick Mills,77
131,Marcus Morris,77
132,Jamal Murray,77
133,Larry Nance Jr,77
134,Tony Parker,77
135,Elfrid Payton,77
136,Mason Plumlee,77
137,Jayson Tatum,77
138,Milos Teodosic,77
139,Marvin Williams,77
140,Thaddeus Young,77
141,Cody Zeller,77
142,Jose Juan Barea,76
143,Trevor Booker,76
144,Jaylen Brown,76
145,Willie Cauley-Stein,76
146,Tyson Chandler,76
147,Marquese Chriss,76
148,Gorgui Dieng,76
149,Taj Gibson,76
150,Manu Ginobili,76
151,Treveon Graham,76
152,Danny Green,76
153,Richaun Holmes,76
154,Brandon Ingram,76
155,Jonathan Isaac,76
156,Joe Johnson,76
157,Frank Kaminsky,76
158,Skal Labissiere,76
159,Robin Lopez,76
160,Luc Mbah a Moute,76
161,JaVale McGee,76
162,CJ Miles,76
163,Nikola Mirotic,76
164,Zaza Pachulia,76
165,Bobby Portis,76
166,Andre Roberson,76
167,Rajon Rondo,76
168,Dennis Smith,76
169,PJ Tucker,76
170,Justise Winslow,76
171,Michael Beasley,75
172,DeMarre Carroll,75
173,Allen Crabbe,75
174,JaMychal Green,75
175,Rondae Hollis-Jefferson,75
176,Ersan Ilyasova,75
177,Al Jefferson,75
178,Amir Johnson,75
179,Cory Joseph,75
180,Jeremy Lamb,75
181,Ty Lawson,75
182,Courtney Lee,75
183,Jon Leuer,75
184,Caris LeVert,75
185,Shaun Livingston,75
186,Thon Maker,75
187,Lauri Markkanen,75
188,TJ McConnell,75
189,Donovan Mitchell,75
190,Malik Monk,75
191,Shabazz Muhammad,75
192,Kelly Olynyk,75
193,Patrick Patterson,75
194,Norman Powell,75
195,Taurean Prince,75
196,Terrence Ross,75
197,Thabo Sefolosha,75
198,Jonathon Simmons,75
199,JR Smith,75
200,Tony Snell,75
201,Lance Stephenson,75
202,Tyler Ulis,75
203,Alan Williams,75
204,Ivica Zubac,75
205,Alex Abrines,74
206,Kent Bazemore,74
207,Marco Belinelli,74
208,Bogdan Bogdanovic,74
209,Alec Burks,74
210,Vince Carter,74
211,Ian Clark,74
212,Malcolm Delaney,74
213,Matthew Dellavedova,74
214,Jared Dudley,74
215,Wayne Ellington,74
216,Festus Ezeli,74
217,Raymond Felton,74
218,Yogi Ferrell,74
219,Jerian Grant,74
220,Moe Harkless,74
221,Montrezl Harrell,74
222,John Henson,74
223,Juan Hernangomez,74
224,Justin Holiday,74
225,Richard Jefferson,74
226,Jonas Jerebko,74
227,Sean Kilpatrick,74
228,Brandon Knight,74
229,Kyle Korver,74
230,Trey Lyles,74
231,Ian Mahinmi,74
232,Boban Marjanovic,74
233,Rodney McGruder,74
234,Salah Mejri,74
235,E'Twaun Moore,74
236,Timofey Mozgov,74
237,Mike Muscala,74
238,Jameer Nelson,74
239,Joakim Noah,74
240,Frank Ntilikina,74
241,Kelly Oubre,74
242,Chandler Parsons,74
243,Willie Reed,74
244,Josh Richardson,74
245,Glenn Robinson III,74
246,Terry Rozier,74
247,Ishmael Smith,74
248,Marreese Speights,74
249,Garrett Temple,74
250,Evan Turner,74
251,Ekpe Udoh,74
252,David West,74
253,Deron Williams,74
254,Nick Young,74
255,Arron Afflalo,73
256,Al-Farouq Aminu,73
257,Justin Anderson,73
258,Kyle Anderson,73
259,Darrell Arthur,73
260,DJ Augustin,73
261,Leandro Barbosa,73
262,Jerryd Bayless,73
263,Aron Baynes,73
264,Bismack Biyombo,73
265,Tarik Black,73
266,Andrew Bogut,73
267,Aaron Brooks,73
268,Zach Collins,73
269,John Collins,73
270,Sam Dekker,73
271,Luol Deng,73
272,Spencer Dinwiddie,73
273,Dante Exum,73
274,Cristiano Felicio,73
275,Tim Frazier,73
276,Channing Frye,73
277,Langston Galloway,73
278,Jerami Grant,73
279,Jeff Green,73
280,Devin Harris,73
281,Mario Hezonja,73
282,Kris Humphries,73
283,Jarrett Jack,73
284,Stanley Johnson,73
285,Tyus Jones,73
286,Kosta Koufos,73
287,Mindaugas Kuzminskas,73
288,Joffrey Lauvergne,73
289,Alex Len,73
290,Shelvin Mack,73
291,Patrick McCaw,73
292,Doug McDermott,73
293,Ben McLemore,73
294,Emmanuel Mudiay,73
295,Dejounte Murray,73
296,Lucas Nogueira,73
297,David Nwaba,73
298,Jahlil Okafor,73
299,Emeka Okafor,73
300,Quincy Pondexter,73
301,Dwight Powell,73
302,Domantas Sabonis,73
303,Ramon Sessions,73
304,Iman Shumpert,73
305,Jason Smith,73
306,Nik Stauskas,73
307,Mirza Teletovic,73
308,Denzel Valentine,73
309,Isaiah Whitehead,73
310,Jeff Withey,73
311,Brandan Wright,73
312,Tyler Zeller,73
313,Quincy Acy,72
314,Bam Adebayo,72
315,Alexis Ajinca,72
316,Cole Aldrich,72
317,Lavoy Allen,72
318,Jarrett Allen,72
319,Malik Beasley,72
320,Dragan Bender,72
321,Davis Bertans,72
322,Nemanja Bjelica,72
323,Omri Casspi,72
324,Dante Cunningham,72
325,Troy Daniels,72
326,Deyonta Davis,72
327,Ed Davis,72
328,Kris Dunn,72
329,James Ennis,72
330,Tyler Ennis,72
331,Dorian Finney-Smith,72
332,Archie Goodwin,72
333,Gerald Green,72
334,Justin Hamilton,72
335,Joe Harris,72
336,Andrew Harrison,72
337,Solomon Hill,72
338,Justin Jackson,72
339,Brandon Jennings,72
340,Kyle Kuzma,72
341,Timothe Luwawu,72
342,Jarell Martin,72
343,Jodie Meeks,72
344,Raul Neto,72
345,Georgios Papagiannis,72
346,Jakob Poeltl,72
347,Mike Scott,72
348,Pascal Siakam,72
349,Anthony Tolliver,72
350,Beno Udrih,72
351,Noah Vonleh,72
352,CJ Watson,72
353,Derrick Williams,72
354,Delon Wright,72
355,Joseph Young,72
356,OG Anunoby,71
357,Omer Asik,71
358,Trey Burke,71
359,Jose Calderon,71
360,Michael Carter-Williams,71
361,Henry Ellenson,71
362,Terrance Ferguson,71
363,Bryn Forbes,71
364,Wesley Johnson,71
365,Luke Kennard,71
366,Shane Larkin,71
367,Jordan Mickey,71
368,Shabazz Napier,71
369,Cedi Osman,71
370,Adreian Payne,71
371,Cameron Payne,71
372,Daniel Theis,71
373,Lance Thomas,71
374,Paul Zipser,71
375,Ante Zizic,71
376,Luke Babbitt,70
377,Corey Brewer,70
378,Anthony Brown,70
379,Isaiah Canaan,70
380,Semaj Christon,70
381,Nick Collison,70
382,Pat Connaughton,70
383,Torrey Craig,70
384,Cheick Diallo,70
385,Michael Gbinije,70
386,Harry Giles,70
387,Josh Hart,70
388,Udonis Haslem,70
389,Frank Jackson,70
390,Brice Johnson,70
391,Damian Jones,70
392,Furkan Korkmaz,70
393,Meyers Leonard,70
394,Kevon Looney,70
395,Justin Patton,70
396,Miles Plumlee,70
397,Malachi Richardson,70
398,Brandon Rush,70
399,Tomas Satoransky,70
400,Wayne Selden,70
401,Diamond Stone,70
402,Caleb Swanigan,70
403,Rashad Vaughn,70
404,Derrick White,70
405,Guerschon Yabusele,70
406,James Young,70
407,Dwayne Bacon,69
408,Wade Baldwin,69
409,Jordan Bell,69
410,DeAndre Bembry,69
411,Joel Bolomboy,69
412,Tony Bradley,69
413,Quinn Cook,69
